,Date,Value
0,1618060888.200641,28.809120178222656
0,1618060898.23851,28.82801628112793
0,1618060908.324245,28.809120178222656
0,1618060918.3965821,28.96029663085937
0,1618061052.14532,28.922504425048828
0,1618061062.213902,29.035888671875
0,1618061220.586217,28.9414005279541
0,1618061230.656257,28.922504425048828
0,1618061240.714136,28.903606414794922
0,1618061250.796081,28.82801628112793
0,1618061260.840118,28.79022216796875
0,1618061270.885271,28.771324157714844
0,1618061280.968183,28.752426147460927
0,1618061291.0128038,28.752426147460927
0,1618061301.058721,28.846912384033203
0,1618061311.139733,28.82801628112793
