,Date,latitude,longtitude
0,1618061052.190084,,
0,1618061052.202474,,
0,1618061052.220844,,
0,1618061052.238841,,
0,1618061052.257431,,
0,1618061052.275473,,
0,1618061052.293477,,
0,1618061052.311502,,
0,1618061052.329426,,
0,1618061052.348175,,
0,1618061052.40411,50.077251666666676,14.437886666666667
0,1618061052.421348,50.077251666666676,14.437886666666667
0,1618061052.478884,50.077251666666676,14.437886666666667
0,1618061052.496181,50.077251666666676,14.437886666666667
0,1618061052.514184,50.077251666666676,14.437886666666667
0,1618061052.5313392,50.077251666666676,14.437886666666667
0,1618061052.54847,50.077251666666676,14.437886666666667
0,1618061052.5657089,50.077251666666676,14.437886666666667
0,1618061052.58296,50.077251666666676,14.437886666666667
0,1618061052.600159,50.077251666666676,14.437886666666667
0,1618061052.617524,50.077251666666676,14.437886666666667
0,1618061052.635336,50.077251666666676,14.437886666666667
0,1618061052.652708,50.077251666666676,14.437886666666667
0,1618061052.6701698,50.077251666666676,14.437886666666667
0,1618061052.687638,50.077251666666676,14.437886666666667
0,1618061052.705134,50.077251666666676,14.437886666666667
0,1618061052.722584,50.077251666666676,14.437886666666667
0,1618061052.740027,50.077251666666676,14.437886666666667
0,1618061052.757526,50.077251666666676,14.437886666666667
0,1618061052.7750401,50.077251666666676,14.437886666666667
0,1618061052.7926528,50.077251666666676,14.437886666666667
0,1618061052.810142,50.077251666666676,14.437886666666667
0,1618061052.827734,50.077251666666676,14.437886666666667
0,1618061052.845833,50.077251666666676,14.437886666666667
0,1618061052.863462,50.077251666666676,14.437886666666667
0,1618061052.880996,50.077251666666676,14.437886666666667
0,1618061052.898613,50.077251666666676,14.437886666666667
0,1618061052.916356,50.077251666666676,14.437886666666667
0,1618061052.934028,50.077251666666676,14.437886666666667
0,1618061052.951782,50.077251666666676,14.437886666666667
0,1618061052.969559,50.077251666666676,14.437886666666667
0,1618061052.987349,50.077251666666676,14.437886666666667
0,1618061053.005168,50.077251666666676,14.437886666666667
0,1618061053.023001,50.077251666666676,14.437886666666667
0,1618061053.040875,50.077251666666676,14.437886666666667
0,1618061053.059123,50.077251666666676,14.437886666666667
0,1618061053.077033,50.077251666666676,14.437886666666667
0,1618061053.094986,50.077251666666676,14.437886666666667
0,1618061053.1128929,50.077251666666676,14.437886666666667
0,1618061053.130906,50.077251666666676,14.437886666666667
0,1618061053.1490052,50.077251666666676,14.437886666666667
0,1618061053.1671634,50.077251666666676,14.437886666666667
0,1618061053.185184,50.077251666666676,14.437886666666667
0,1618061053.203261,50.077251666666676,14.437886666666667
0,1618061053.221363,50.077251666666676,14.437886666666667
0,1618061053.239399,50.077251666666676,14.437886666666667
0,1618061053.257562,50.077251666666676,14.437886666666667
0,1618061053.276279,50.077251666666676,14.437886666666667
0,1618061053.294481,50.077251666666676,14.437886666666667
0,1618061053.3126779,50.077251666666676,14.437886666666667
0,1618061053.331105,50.077251666666676,14.437886666666667
